City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
15,Warwick,US,77.29,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
18,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
21,Labuhan,ID,78.21,broken clouds,-6.8844,112.2051,DoubleFAG
23,Bandarbeyla,SO,77.99,broken clouds,9.4942,50.8122,JABIR HOTEL
26,Gondanglegi,ID,77.65,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
32,Bengkulu,ID,79.56,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Lavra,PT,76.12,clear sky,41.2594,-8.7185,Park Hotel Porto Aeroporto
38,Rikitea,PF,74.75,few clouds,-23.1203,-134.9692,People ThankYou
43,Sao Miguel Do Tapuio,BR,74.16,clear sky,-5.5036,-41.3233,Hotel Tropical
49,Atuona,PF,77.67,scattered clouds,-9.8,-139.0333,Villa Enata
51,Mantua,IT,76.24,clear sky,45.1667,10.7833,Hotel la Favorita
54,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
56,Malim,PH,81.72,light rain,7.452,123.4312,Malim
57,Shingu,JP,80.35,broken clouds,33.7333,135.9833,Shingu UI Hotel
62,Karaton,ID,78.3,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
63,Yellowknife,CA,75.56,scattered clouds,62.456,-114.3525,The Explorer Hotel
64,Sinnamary,GF,77.23,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
74,Hamilton,US,78.44,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
78,Touros,BR,74.34,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
82,Yaring,TH,81.03,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
88,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
98,Kalmunai,LK,81.07,overcast clouds,7.4167,81.8167,VS Villa
101,Kavaratti,IN,81.43,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
107,Half Moon Bay,US,77.59,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
120,Eston,CA,73.92,few clouds,51.1501,-108.7514,Hearthside Place B&B
123,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
126,Bethel,US,80.47,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
132,Lompoc,US,81.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Katsuura,JP,77.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
145,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
146,Brikama,GM,80.64,scattered clouds,13.2714,-16.6494,Nilakoto
148,Sindgi,IN,74.19,overcast clouds,16.9167,76.2333,Sasabal
153,Zhangye,CN,75.36,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
156,Pacific Grove,US,76.01,few clouds,36.6177,-121.9166,Lovers Point Inn
161,Burnsville,US,80.38,scattered clouds,44.7677,-93.2777,LivINN Hotel Minneapolis South/Burnsville
166,Haines Junction,CA,79.12,few clouds,60.7522,-137.5108,Parkside Inn
175,Tivaouane,SN,80.94,scattered clouds,14.9515,-16.8129,SOUNOU KEUR
176,Caucaia,BR,78.04,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
186,Saint Anthony,US,80.53,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
188,Santa Isabel Do Rio Negro,BR,74.53,few clouds,-0.4139,-65.0192,Hotel GSA
192,Sur,OM,80.67,heavy intensity rain,22.5667,59.5289,Sur Plaza Hotel
193,Bemidji,US,77.09,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
197,Marawi,PH,78.93,scattered clouds,7.9986,124.2928,Derogongan Residence
204,Hami,CN,79.47,clear sky,42.8,93.45,Laoyutang Resort
205,Faanui,PF,79.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
207,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
215,Pak Phanang,TH,80.62,overcast clouds,8.3511,100.202,Green Park Inn Hotel
