City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Omboue,GA,-1.5746,9.2618,70.34,89,50,7.31,scattered clouds
1,New Norfolk,AU,-42.7826,147.0587,52.88,77,5,4.0,clear sky
2,Aswan,EG,24.0934,32.907,87.4,21,8,8.95,clear sky
3,Tasiilaq,GL,65.6145,-37.6368,39.36,80,100,2.15,overcast clouds
4,Ribeira Grande,PT,38.5167,-28.7,66.49,81,100,14.0,overcast clouds
5,Qaanaaq,GL,77.484,-69.3632,39.76,95,100,1.3,overcast clouds
6,Iqaluit,CA,63.7506,-68.5145,40.73,93,75,5.99,broken clouds
7,Kapaa,US,22.0752,-159.319,84.18,70,20,14.97,few clouds
8,Henties Bay,NA,-22.116,14.2845,57.4,75,0,7.65,clear sky
9,Barrow,US,71.2906,-156.7887,55.42,76,40,10.36,scattered clouds
10,Porto Novo,BJ,6.4965,2.6036,78.62,92,39,5.66,light rain
11,Georgetown,MY,5.4112,100.3354,82.89,85,20,0.0,few clouds
12,Cidreira,BR,-30.1811,-50.2056,63.86,91,100,4.79,overcast clouds
13,Albany,US,42.6001,-73.9662,74.05,71,56,3.47,broken clouds
14,Husavik,IS,66.0449,-17.3389,54.48,81,100,8.16,light rain
15,Warwick,US,41.7001,-71.4162,77.29,64,82,5.35,broken clouds
16,Hilo,US,19.7297,-155.09,86.29,58,0,9.22,clear sky
17,Ushuaia,AR,-54.8,-68.3,28.06,74,0,4.61,clear sky
18,Avarua,CK,-21.2078,-159.775,75.25,57,20,8.05,few clouds
19,Mataura,NZ,-46.1927,168.8643,46.47,68,100,3.33,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,50.02,96,100,6.91,drizzle
21,Labuhan,ID,-6.8844,112.2051,78.21,80,73,9.1,broken clouds
22,Geraldton,AU,-28.7667,114.6,52.21,93,0,11.5,clear sky
23,Bandarbeyla,SO,9.4942,50.8122,77.99,69,75,35.08,broken clouds
24,Nemuro,JP,43.3236,145.575,56.32,92,78,7.16,broken clouds
25,Ambovombe,MG,-25.1667,46.0833,63.88,73,0,3.27,clear sky
26,Gondanglegi,ID,-7.7479,112.0132,77.65,75,44,11.61,scattered clouds
27,Doha,QA,25.2867,51.5333,94.98,57,0,5.75,clear sky
28,Busselton,AU,-33.65,115.3333,50.77,86,100,13.18,overcast clouds
29,Ewa Beach,US,21.3156,-158.0072,83.43,58,75,20.71,broken clouds
30,Cape Town,ZA,-33.9258,18.4232,57.38,75,20,8.05,few clouds
31,Katherine,AU,-14.4667,132.2667,64.72,45,46,9.22,scattered clouds
32,Bengkulu,ID,-3.8004,102.2655,79.56,79,44,5.28,scattered clouds
33,Mount Isa,AU,-20.7333,139.5,58.77,55,0,10.36,clear sky
34,Chuy,UY,-33.6971,-53.4616,59.85,97,100,11.59,overcast clouds
35,Lavra,PT,41.2594,-8.7185,76.12,73,0,0.0,clear sky
36,Jamestown,US,42.097,-79.2353,71.24,73,75,8.05,broken clouds
37,Yaan,NG,7.3833,8.5667,74.17,85,97,3.47,light rain
38,Rikitea,PF,-23.1203,-134.9692,74.75,73,21,18.28,few clouds
39,Moshkovo,RU,55.3053,83.6104,59.31,91,100,3.06,overcast clouds
40,Pevek,RU,69.7008,170.3133,33.58,87,37,13.96,scattered clouds
41,San Rafael,AR,-34.6177,-68.3301,44.24,48,0,7.63,clear sky
42,Krivosheino,RU,57.3431,83.9261,60.21,88,97,6.22,overcast clouds
43,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,74.16,53,3,5.91,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,28.51,93,0,9.22,clear sky
45,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.31,85,0,18.25,clear sky
46,Saint George,US,37.1041,-113.5841,100.63,11,0,16.11,clear sky
47,Dikson,RU,73.5069,80.5464,33.1,87,13,4.21,few clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,56,4.0,broken clouds
49,Atuona,PF,-9.8,-139.0333,77.67,80,25,24.25,scattered clouds
50,Say,NE,13.1007,2.3689,90.16,48,98,10.27,overcast clouds
51,Mantua,IT,45.1667,10.7833,76.24,79,0,1.99,clear sky
52,Jarvenpaa,FI,60.4737,25.0899,58.77,85,20,4.61,few clouds
53,Pangody,RU,65.85,74.4859,56.34,71,100,3.71,overcast clouds
54,Vaini,TO,-21.2,-175.2,77.16,69,40,10.36,scattered clouds
55,Kishi,NG,9.0833,3.85,71.56,89,51,3.71,broken clouds
56,Malim,PH,7.452,123.4312,81.72,77,91,6.55,light rain
57,Shingu,JP,33.7333,135.9833,80.35,77,63,5.32,broken clouds
58,Sembe,CG,1.6481,14.5806,70.83,83,88,1.97,overcast clouds
59,Hobart,AU,-42.8794,147.3294,53.22,73,5,1.01,clear sky
60,Kargasok,RU,59.0556,80.8572,60.57,66,48,7.52,scattered clouds
