City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Guerrero Negro,MX,2022-06-28 01:57:33,27.9769,-114.0611,76.5,66,53,9.19
1,Yellowknife,CA,2022-06-28 01:51:21,62.456,-114.3525,64.92,42,20,12.66
2,Deputatskiy,RU,2022-06-28 01:55:26,69.3,139.9,32.85,100,100,0.98
3,Mataura,NZ,2022-06-28 01:46:34,-46.1927,168.8643,42.48,77,14,3.24
4,Severo-Kurilsk,RU,2022-06-28 01:51:27,50.6789,156.125,46.72,96,100,13.62
5,Sitka,US,2022-06-28 01:57:34,57.0531,-135.33,66.02,71,1,6.31
6,Esperance,AU,2022-06-28 01:51:20,-33.8667,121.9,59.97,58,23,16.35
7,Mon,IN,2022-06-28 01:57:35,26.75,95.1,70.97,99,100,2.01
8,Kapaa,US,2022-06-28 01:54:08,22.0752,-159.319,80.11,75,77,5.99
9,Punta Arenas,CL,2022-06-28 01:57:36,-53.15,-70.9167,35.71,69,0,4.61
10,Vesoul,FR,2022-06-28 01:57:36,47.5833,5.8333,56.08,93,15,4.23
11,Bela,IN,2022-06-28 01:57:37,25.9333,81.9833,95.68,44,100,9.51
12,Nelson Bay,AU,2022-06-28 01:57:37,-32.7167,152.15,57.0,95,100,1.99
13,Rikitea,PF,2022-06-28 01:57:38,-23.1203,-134.9692,73.54,73,12,6.64
14,Nikolskoye,RU,2022-06-28 01:57:38,59.7035,30.7861,67.91,84,100,5.01
15,Marawi,PH,2022-06-28 01:57:38,7.9986,124.2928,79.52,69,97,3.47
16,Vila Velha,BR,2022-06-28 01:57:39,-20.3297,-40.2925,66.15,76,75,3.44
17,Ushuaia,AR,2022-06-28 01:46:25,-54.8,-68.3,44.26,49,40,11.5
18,Albany,US,2022-06-28 01:51:15,42.6001,-73.9662,67.17,66,3,1.99
19,Saint George,US,2022-06-28 01:57:40,37.1041,-113.5841,90.9,23,48,1.3
20,Rocha,UY,2022-06-28 01:47:27,-34.4833,-54.3333,49.75,89,100,3.76
21,Bubaque,GW,2022-06-28 01:53:57,11.2833,-15.8333,77.83,89,100,13.44
22,Faanui,PF,2022-06-28 01:56:34,-16.4833,-151.75,80.2,68,0,18.75
23,Atuona,PF,2022-06-28 01:57:41,-9.8,-139.0333,77.68,79,11,18.01
24,Lompoc,US,2022-06-28 01:57:41,34.6391,-120.4579,87.01,78,100,9.22
25,Garissa,KE,2022-06-28 01:57:42,-0.4536,39.6401,72.72,75,89,17.09
26,Sinazongwe,ZM,2022-06-28 01:57:42,-17.2614,27.4618,65.82,56,90,10.63
27,Waingapu,ID,2022-06-28 01:57:42,-9.6567,120.2641,83.01,64,92,12.24
28,Monrovia,LR,2022-06-28 01:56:34,6.3005,-10.7969,76.93,87,77,6.2
29,Pascagoula,US,2022-06-28 01:57:43,30.3658,-88.5561,82.09,88,94,4.74
30,Kasongo-Lunda,CD,2022-06-28 01:57:43,-6.4667,16.8167,66.09,51,11,2.1
31,Lorengau,PG,2022-06-28 01:57:44,-2.0226,147.2712,85.62,64,31,9.46
32,Christchurch,NZ,2022-06-28 01:55:05,-43.5333,172.6333,46.9,89,100,8.05
33,Perth,AU,2022-06-28 01:57:44,-31.9333,115.8333,58.33,77,0,8.05
34,Hammerfest,NO,2022-06-28 01:57:45,70.6634,23.6821,70.25,68,99,4.61
35,North Charleston,US,2022-06-28 01:53:44,32.8886,-80.0075,81.01,78,75,8.05
36,Grand Gaube,MU,2022-06-28 01:57:45,-20.0064,57.6608,70.2,73,77,1.99
37,Paulo Afonso,BR,2022-06-28 01:57:46,-9.4061,-38.2147,67.17,95,38,8.66
38,Victoria,HK,2022-06-28 01:54:27,22.2855,114.1577,91.96,77,98,5.99
39,Pimentel,PE,2022-06-28 01:57:46,-6.8367,-79.9342,62.19,89,6,12.71
40,Arlit,NE,2022-06-28 01:57:47,18.7369,7.3853,89.69,21,16,4.9
41,Kavali,IN,2022-06-28 01:57:47,14.9167,79.9833,84.47,60,100,7.45
42,Labuhan,ID,2022-06-28 01:51:26,-6.8844,112.2051,79.92,75,78,7.96
43,Kodiak,US,2022-06-28 01:55:20,57.79,-152.4072,56.59,79,98,3.51
44,Avarua,CK,2022-06-28 01:51:15,-21.2078,-159.775,80.65,78,75,21.85
45,Adrar,MR,2022-06-28 01:56:44,20.5022,-10.0711,87.3,14,3,13.06
46,Les Escoumins,CA,2022-06-28 01:57:48,48.1111,-69.0236,58.35,73,10,8.39
47,Bredasdorp,ZA,2022-06-28 01:52:39,-34.5322,20.0403,54.14,60,0,4.99
48,Krasnoyarskiy,RU,2022-06-28 01:57:49,51.965,59.8967,58.12,75,37,12.1
49,Belyy Yar,RU,2022-06-28 01:57:49,53.6039,91.3903,69.69,73,0,13.42
50,Khatanga,RU,2022-06-28 01:58:50,71.9667,102.5,52.05,42,7,5.61
51,Cape Town,ZA,2022-06-28 01:56:31,-33.9258,18.4232,58.1,65,0,10.36
52,Hermanus,ZA,2022-06-28 01:58:50,-34.4187,19.2345,59.88,60,0,8.03
53,Tasiilaq,GL,2022-06-28 01:58:51,65.6145,-37.6368,32.4,72,73,0.63
54,Castro,BR,2022-06-28 01:58:51,-24.7911,-50.0119,49.77,96,64,3.06
55,Hokitika,NZ,2022-06-28 01:58:52,-42.7167,170.9667,47.73,79,100,5.39
56,East London,ZA,2022-06-28 01:58:52,-33.0153,27.9116,56.77,45,0,6.64
57,Beckley,US,2022-06-28 01:54:34,37.7782,-81.1882,62.31,84,8,4.23
58,Saskylakh,RU,2022-06-28 01:51:25,71.9167,114.0833,46.18,53,85,7.65
59,Iqaluit,CA,2022-06-28 01:58:53,63.7506,-68.5145,40.73,80,75,5.75
60,Tazovskiy,RU,2022-06-28 01:58:53,67.4667,78.7,48.97,78,100,19.98
61,Steamboat Springs,US,2022-06-28 01:58:24,40.485,-106.8317,75.76,31,0,4.61
62,Thompson,CA,2022-06-28 01:49:16,55.7435,-97.8558,53.76,71,75,4.61
63,Upernavik,GL,2022-06-28 01:55:11,72.7868,-56.1549,37.27,86,1,5.44
64,Goderich,CA,2022-06-28 01:58:55,43.7501,-81.7165,58.91,82,6,7.96
65,Forio,IT,2022-06-28 01:58:55,40.7342,13.8646,85.51,57,59,4.5
66,Bengkulu,ID,2022-06-28 01:58:56,-3.8004,102.2655,81.28,73,90,2.46
67,Mandalgovi,MN,2022-06-28 01:58:56,45.7625,106.2708,71.19,39,51,4.72
68,Lasa,IT,2022-06-28 01:55:19,46.6166,10.7002,62.37,86,62,1.5
69,Lima,PE,2022-06-28 01:57:31,-12.0432,-77.0282,59.25,82,40,12.66
70,Qaanaaq,GL,2022-06-28 01:51:27,77.484,-69.3632,45.66,64,19,5.46
71,Lebu,CL,2022-06-28 01:55:51,-37.6167,-73.65,53.46,91,100,14.18
72,Sistranda,NO,2022-06-28 01:58:57,63.7256,8.834,55.36,98,100,4.47
73,Chokurdakh,RU,2022-06-28 01:52:35,70.6333,147.9167,51.96,44,100,5.5
74,Hilo,US,2022-06-28 01:51:23,19.7297,-155.09,84.27,65,0,10.36
75,San Patricio,US,2022-06-28 01:58:58,28.017,-97.5169,82.49,80,76,17.72
76,Luderitz,NA,2022-06-28 01:58:58,-26.6481,15.1594,70.05,38,0,23.58
77,Srednekolymsk,RU,2022-06-28 01:51:16,67.45,153.6833,64.67,38,100,6.24
78,Longyearbyen,SJ,2022-06-28 01:54:00,78.2186,15.6401,42.64,81,0,5.75
79,Mahebourg,MU,2022-06-28 01:52:06,-20.4081,57.7,70.09,68,40,14.97
80,Karratha,AU,2022-06-28 01:51:30,-20.7377,116.8463,71.02,30,0,20.33
81,Carnarvon,AU,2022-06-28 01:51:29,-24.8667,113.6333,68.38,39,0,15.55
82,Green River,US,2022-06-28 01:58:17,41.5286,-109.4662,83.19,15,0,7.0
83,Taltal,CL,2022-06-28 01:59:00,-25.4,-70.4833,59.22,64,58,4.99
84,Tagbacan,PH,2022-06-28 01:59:01,11.1534,125.5767,81.61,84,100,7.52
85,Tuktoyaktuk,CA,2022-06-28 01:59:01,69.4541,-133.0374,66.2,63,100,9.22
86,Sheopur,IN,2022-06-28 01:59:02,25.6667,76.7,91.33,55,53,13.33
87,Waddan,LY,2022-06-28 01:59:02,29.1614,16.139,82.87,23,0,8.46
88,Saint-Philippe,RE,2022-06-28 01:53:59,-21.3585,55.7679,63.99,70,77,15.39
89,Daan,CN,2022-06-28 01:59:03,33.0558,106.2958,83.93,47,6,3.2
90,Sao Filipe,CV,2022-06-28 01:59:03,14.8961,-24.4956,73.33,83,40,7.54
91,Barrow,US,2022-06-28 01:53:53,71.2906,-156.7887,44.83,89,100,2.28
92,Vaini,TO,2022-06-28 01:54:04,-21.2,-175.2,77.16,73,20,11.5
93,Muroto,JP,2022-06-28 01:59:04,33.2833,134.15,79.47,88,85,10.27
94,Hobart,AU,2022-06-28 01:51:26,-42.8794,147.3294,57.22,70,75,14.97
95,Mgachi,RU,2022-06-28 02:00:06,51.05,142.2667,59.9,75,89,3.58
96,Smithers,CA,2022-06-28 01:51:20,54.7804,-127.1743,86.32,28,75,3.44
97,Mar Del Plata,AR,2022-06-28 02:00:08,-38.0023,-57.5575,46.09,83,7,3.0
98,Bambous Virieux,MU,2022-06-28 02:00:08,-20.3428,57.7575,67.21,58,98,18.48
99,Peniche,PT,2022-06-28 01:59:02,39.3558,-9.3811,61.11,83,0,20.69
100,El Sauzal,MX,2022-06-28 02:00:10,31.9,-116.6833,70.41,80,25,6.06
101,Presidencia Roque Saenz Pena,AR,2022-06-28 02:00:12,-26.7852,-60.4388,61.14,94,100,5.32
102,Klyuchi,RU,2022-06-28 02:00:13,52.2667,79.1667,60.84,58,1,9.17
103,Nemuro,JP,2022-06-28 02:00:14,43.3236,145.575,57.67,93,100,5.06
104,Semnan,IR,2022-06-28 02:00:15,35.5729,53.3971,84.24,21,0,9.35
105,Mount Pleasant,US,2022-06-28 01:57:53,32.7941,-79.8626,81.09,79,0,6.91
106,Austin,US,2022-06-28 01:55:57,30.2672,-97.7431,75.81,93,100,10.8
107,Gat,IL,2022-06-28 02:00:18,31.61,34.7642,72.39,77,0,4.09
108,Kungurtug,RU,2022-06-28 02:00:19,50.5994,97.5228,83.07,25,33,1.74
109,Bluff,NZ,2022-06-28 01:46:36,-46.6,168.3333,42.8,65,0,5.77
110,Henties Bay,NA,2022-06-28 02:00:20,-22.116,14.2845,73.72,33,0,23.11
111,Beaufort,MY,2022-06-28 02:00:21,5.3473,115.7455,85.62,66,99,3.83
